face_id,timestamp,r,g,b
12,1781860047.382671,90.34208612,80.04182050,74.83590172
12,1781860047.463887,89.89345764,79.25854556,73.64055191
12,1781860047.528681,94.53257277,80.15107188,80.14274181
12,1781860047.592136,87.69755938,78.13596577,72.85100116
12,1781860047.655894,88.87410569,79.23959279,74.64167761
12,1781860047.717559,87.92908696,75.65907763,75.58830110
12,1781860047.773706,81.82164692,73.28050549,68.18654273
12,1781860047.875187,76.85703574,68.89503655,64.81223934
12,1781860047.937949,75.25688114,67.46297886,67.42348443
12,1781860048.011910,73.79308986,66.04406278,65.68967653
12,1781860048.057545,71.36757790,64.31611658,63.54543158
12,1781860048.108105,70.80049023,63.82744146,62.74579664
12,1781860048.179764,72.71126774,64.59685773,63.37017115
12,1781860048.271211,77.97722797,68.84731523,67.13425759
12,1781860048.299778,82.50068429,71.11975768,69.07792255
12,1781860048.387520,86.35669120,77.29354631,72.02025942
12,1781860048.471525,95.21182560,83.05465315,83.88953640
12,1781860048.513861,112.87543584,102.14023973,101.40324698
12,1781860048.581781,126.29671554,118.63172428,119.58343654
12,1781860048.671837,140.78522069,134.95996579,141.80092540
13,1781860114.171763,55.96939019,47.53351035,40.97805862
14,1781860116.830418,33.10185118,26.57804221,16.23779531
14,1781860116.927180,36.82142138,28.05693826,17.91970272
14,1781860116.977788,57.07368998,43.17398022,27.51634813
14,1781860117.066711,55.97297442,43.36728875,27.12574025
14,1781860117.141594,58.92789958,46.32353843,29.93514851
14,1781860117.209652,67.10158616,50.71171543,36.98795705
14,1781860117.250840,68.68847626,53.31994254,38.11319969
14,1781860117.312330,70.32536759,55.55672627,37.75429806
14,1781860117.390552,72.62469029,57.56761911,40.34324340
14,1781860117.462902,75.89059741,59.69378204,40.34375388
14,1781860117.525145,78.84790086,60.42764983,40.81452064
14,1781860117.586375,83.88163332,63.03298059,42.29517937
14,1781860117.648445,86.84851614,64.37990770,44.64458408
14,1781860117.720448,91.01386171,67.67128724,50.48127310
14,1781860117.784694,91.49749963,65.29124979,54.15036878
15,1781860129.304791,81.58253231,65.93577358,43.66960810
15,1781860129.382737,78.89198991,62.25133895,45.39607002
15,1781860129.467288,97.19182488,82.11019532,64.50210308
15,1781860129.530100,99.82306977,86.16476255,69.06267874
15,1781860129.589010,97.19724076,82.47814437,64.30586186
15,1781860129.640950,89.46647622,75.80796342,59.23156843
15,1781860129.682111,81.56497746,68.82909716,54.29863066
16,1781860153.384019,80.57061040,58.29425492,36.02827613
17,1781860181.918079,43.08524845,33.60617231,21.82360337
17,1781860181.998775,40.92248791,32.11210528,19.37294938
17,1781860182.066686,39.67385885,30.86081708,18.16612903
17,1781860182.124143,38.04602690,29.56558787,17.55366218
17,1781860182.172836,36.36698614,27.70370158,15.81747812
17,1781860182.264438,29.89310642,20.55044395,9.46154890
17,1781860182.331322,32.20582458,23.41308636,13.08464237
17,1781860182.403764,37.59574847,28.06418266,18.13375806
17,1781860182.462259,37.78151164,27.81638446,15.10679221
17,1781860182.508735,36.26821359,26.74827273,14.20341889
17,1781860182.556886,35.31844700,24.40239828,13.79021892
17,1781860182.664947,28.31740206,20.72973334,10.36894510
17,1781860182.728899,27.89685038,19.51729299,8.94421669
17,1781860182.785666,26.53905234,18.01328008,7.53892035
17,1781860182.873018,24.11820609,16.45482461,6.31416029
17,1781860182.919526,24.01325376,16.07716397,5.83452405
17,1781860182.958007,23.14901347,15.76046055,5.98198361
17,1781860183.068509,23.91400581,16.89586208,6.19063532
17,1781860183.127202,24.03672255,17.50094153,4.54673692
17,1781860183.202241,28.30616630,20.54487318,5.56181456
17,1781860183.260787,30.52092005,22.79556136,7.67501428
17,1781860183.326062,33.33444621,24.81420234,9.05951814
17,1781860183.368533,36.60503236,26.24504213,11.36530811
17,1781860183.470618,37.39682469,27.22963707,12.91883078
17,1781860183.543155,35.40277775,26.03489617,12.13978459
17,1781860183.600040,39.84686634,29.83614319,15.71828087
17,1781860183.655876,43.26706726,33.07860480,19.72658813
17,1781860183.716415,47.72513210,36.99092781,22.82523918
17,1781860183.765030,52.32900259,41.05146840,26.75078844
17,1781860183.873771,57.73646469,45.14787507,31.47834741
17,1781860183.940873,58.30377075,48.46971079,31.07487937
17,1781860184.000906,65.40221831,52.37064173,35.38392388
17,1781860184.058715,68.48483270,54.37931978,40.66623782
17,1781860184.122372,70.78730107,58.42225787,41.51006152
17,1781860184.166269,76.48190605,61.84094906,44.45563092
17,1781860184.261176,77.60087363,62.32502698,43.08253558
17,1781860184.342152,76.85108797,62.58083441,44.11938398
17,1781860184.404020,77.10970883,62.84287229,43.56209388
17,1781860184.463465,77.42799799,63.58781649,43.53010823
17,1781860184.530278,78.28788968,63.81298172,43.46550798
17,1781860184.573931,75.76927265,63.74783775,41.84437151
17,1781860184.659742,75.41680920,63.25567660,40.71149000
17,1781860184.720105,74.71959267,63.33108671,41.73335054
17,1781860184.783815,78.06190864,63.82980080,45.56456099
17,1781860184.874403,75.44104464,63.72079320,45.97589573
17,1781860184.938639,75.16640875,63.61521475,45.71985680
17,1781860184.958164,78.84684059,64.90321732,45.11005399
17,1781860185.069015,81.16781483,66.39472834,47.13781255
17,1781860185.131709,80.69421314,66.87749450,47.45743130
17,1781860185.192882,83.26901448,66.18136361,50.11753019
17,1781860185.248874,80.05443514,65.92558380,47.23438478
17,1781860185.316549,81.22803346,66.74481451,47.67486735
17,1781860185.384230,79.59133845,66.13758234,47.71076352
17,1781860185.623435,77.37538348,61.16940720,46.13809022
17,1781860185.686237,76.25691914,60.02882347,42.33012443
17,1781860185.741682,77.80008823,61.42667955,42.71225564
17,1781860185.764371,77.99923901,61.40826638,42.48090954
17,1781860185.852024,75.80956197,62.05924116,43.68801381
17,1781860185.906584,75.80317980,62.59170767,44.91627675
17,1781860185.966200,74.83853672,62.79594954,46.44826785
17,1781860186.038839,74.43456425,62.50521478,44.37066127
17,1781860186.105341,73.08926209,62.90830496,44.54150523
17,1781860186.156529,72.32371625,62.14079254,44.73651034
17,1781860186.245918,72.60494982,62.74720579,45.01432877
17,1781860186.314180,73.79478137,63.67154855,45.22568716
17,1781860186.371323,73.42173271,63.31665143,44.74992697
17,1781860186.442633,75.23351454,62.94472685,43.60696647
17,1781860186.514449,77.91798550,63.90172991,48.04788940
17,1781860186.597344,76.99207107,62.66031744,46.57532214
17,1781860186.667220,75.14487178,62.76759539,41.53503977
17,1781860186.732690,75.20201338,63.51603353,40.41016963
17,1781860186.772271,74.60808771,63.00445975,41.52688940
17,1781860186.833760,77.40738699,62.43033300,44.12728682
17,1781860186.895006,77.37383215,63.08233219,44.97988702
17,1781860186.946926,76.78470636,62.33909935,44.22555619
17,1781860187.035702,75.67865282,61.99614562,43.75229107
17,1781860187.098035,76.03161055,61.59112637,42.83180139
17,1781860187.155653,73.00879538,60.36744238,46.25437088
17,1781860187.239336,68.36015576,58.72962477,42.73707590
17,1781860187.297556,67.00434900,57.75871387,40.08638152
17,1781860187.326508,65.47098816,55.81164813,39.24355893
17,1781860187.436647,67.32130846,55.04475649,41.30863927
17,1781860187.515577,66.54860214,54.14576075,40.74835641
17,1781860188.306360,65.38069545,49.85280605,35.56099795
17,1781860188.375657,65.84334622,50.34791622,35.38228393
17,1781860188.428277,65.01665893,50.12233491,34.83103597
17,1781860188.500192,65.51773354,50.40953344,35.28924380
17,1781860188.587516,65.14194826,50.80090770,34.90317442
17,1781860188.608033,62.68021632,50.01599253,35.28424702
17,1781860188.713805,63.28181761,50.89583103,36.21178354
17,1781860188.769391,63.20497164,51.00900466,32.32184597
17,1781860188.830000,63.15525473,50.43535991,36.04540236
17,1781860188.895120,63.22620525,50.72783328,32.89237904
17,1781860188.957897,62.43285081,50.19905149,32.45035604
17,1781860189.041198,62.61070206,50.13226418,34.89002206
17,1781860189.093157,62.11488998,49.74049415,32.06005431
17,1781860189.153066,61.92818214,49.28676204,35.20633471
17,1781860189.237069,59.37000985,49.10005519,31.60982939
17,1781860189.292802,62.06029181,49.06998599,34.21414609
17,1781860189.342299,61.29651908,48.70886677,33.56706493
17,1781860189.422733,58.74377275,47.88697985,30.04427036
17,1781860189.505600,61.22669642,47.20320368,32.58138542
17,1781860189.586142,60.65101471,47.87252830,32.65999060
17,1781860189.637253,61.03561315,47.59278320,32.37467890
17,1781860189.692775,61.08578912,47.50741629,32.08013579
17,1781860189.738992,60.44799617,47.45344750,32.54713866
17,1781860189.824012,60.07888461,47.22045647,32.46035313
17,1781860189.892570,60.60559778,47.75343379,31.32946641
17,1781860189.961461,61.35993838,47.87967393,32.41720234
17,1781860190.048250,62.43771561,47.31748220,31.30831361
17,1781860190.099350,62.98988528,46.95140338,31.49361083
17,1781860190.143635,63.11261460,47.09002127,31.21671277
17,1781860190.225708,61.20884131,47.59589737,28.04095872
17,1781860190.291586,61.59533130,47.94009899,29.08909655
17,1781860190.354781,61.12129382,47.58823700,28.30906117
17,1781860190.428239,58.74874138,45.15839959,27.26627429
17,1781860190.489258,58.82258146,43.90455907,28.53531373
17,1781860190.577209,58.89909947,43.95521014,29.05983127
18,1781860182.873018,62.82659366,49.01601007,41.41179942
18,1781860182.919526,66.90522316,52.78952391,42.75784276
18,1781860182.958007,60.71488811,48.07858057,36.20692579
18,1781860183.068509,53.93245323,44.12812777,31.89154244
18,1781860183.127202,48.38936584,39.49714353,27.71739087
18,1781860183.202241,48.16615045,38.97442631,27.03399826
18,1781860183.326062,44.11588312,36.20701210,24.61229642
18,1781860183.368533,44.44304971,36.25364008,25.59499864
18,1781860183.470618,44.00349384,37.59720288,30.10608741
18,1781860183.543155,44.37949019,39.57933345,33.75228923
18,1781860183.600040,53.05019735,48.17934748,43.86286184
18,1781860183.655876,61.71986911,56.37552582,54.21818032
18,1781860183.716415,68.94776740,63.42341270,61.44928778
18,1781860183.765030,74.86968811,69.70954479,69.06920372
18,1781860183.873771,76.57413854,72.06179933,75.50014375
18,1781860183.940873,73.79699906,72.37706240,74.91368843
18,1781860184.000906,80.78105749,77.49741016,84.26069047
18,1781860184.058715,83.40974933,79.47160067,91.08174818
18,1781860184.122372,83.42938003,81.79965465,90.12395796
18,1781860184.166269,88.38506923,83.51962677,91.49346981
18,1781860184.261176,86.48635626,81.75666888,89.02764446
18,1781860184.342152,87.53310767,82.09427447,89.45788174
18,1781860184.404020,87.27439685,82.11067643,89.92985780
18,1781860184.463465,87.71594366,82.30825330,89.43513253
19,1781860183.940873,110.00144838,94.15098693,77.53719408
19,1781860184.000906,110.73557038,92.23217007,80.74178418
19,1781860184.463465,108.02912850,93.45158303,90.36916008
19,1781860184.530278,107.83364118,93.03144820,89.42061238
19,1781860184.573931,103.11678594,91.61034982,84.98873223
19,1781860184.659742,101.30353402,90.16430607,85.31262474
19,1781860184.720105,97.78584903,88.23484874,84.97980829
19,1781860184.783815,98.44790305,86.92000051,89.26129533
19,1781860184.874403,93.21020726,85.38633767,88.28973109
19,1781860186.105341,94.23322470,84.90711938,86.66648744
19,1781860186.156529,94.07338430,83.94605884,85.58324012
19,1781860186.314180,96.70794923,85.66186770,87.18905204
19,1781860186.371323,97.33959270,86.40983269,85.69349383
19,1781860186.442633,101.43402607,87.43904074,85.61950769
19,1781860186.514449,105.88694488,87.95410216,90.31082132
19,1781860186.732690,101.32929741,88.06742654,83.31189504
19,1781860186.772271,102.28927800,88.13231663,81.38810328
19,1781860186.833760,106.77713256,89.14201447,85.86148482
19,1781860186.895006,108.18590451,89.25347552,84.70359846
19,1781860186.946926,109.95706866,90.67639708,85.28248547
19,1781860187.035702,112.48819976,91.75389044,84.38420637
19,1781860187.155653,115.14819888,95.64830802,90.18436864
19,1781860187.239336,111.95050414,95.18164074,85.61512550
