face_id,timestamp,cleaned_r,cleaned_g,cleaned_b,cleaned_rppg
6,1781860038.758797,-0.42811303,-0.40701516,-0.55386370,0.37503754
6,1781860038.838374,-0.51121812,-0.22203785,-0.76393802,1.85586804
6,1781860038.929509,-0.27203688,0.14277177,-0.62245022,2.63510129
6,1781860038.972060,0.17153773,0.43675038,-0.18525737,1.98123297
6,1781860039.071203,0.54820053,0.47030038,0.29679644,0.21349080
6,1781860039.118650,0.67259400,0.29709007,0.61013547,-1.53758485
6,1781860039.162107,0.45258130,0.05703434,0.57860244,-2.04799010
6,1781860039.241438,-0.05294794,-0.18774854,0.19059243,-1.14588550
6,1781860039.302305,-0.50293405,-0.37049954,-0.19445520,-0.09738418
6,1781860039.368890,-0.49955981,-0.35890443,-0.16174177,-0.12618520
6,1781860039.477780,-0.06982990,-0.12122659,0.16923020,-0.76338574
6,1781860039.518072,0.33740518,0.17257477,0.30339476,-0.66021060
6,1781860039.564023,0.43583305,0.33470464,0.14826381,0.19050936
6,1781860039.641410,0.36981665,0.34210535,0.08373016,0.51509061
6,1781860039.701257,0.30583608,0.26892394,0.21125875,0.04634320
6,1781860039.767341,0.16511737,0.16170213,0.19163071,-0.07445938
6,1781860039.869789,-0.10038015,0.04090469,-0.08466996,0.59591824
6,1781860039.955740,-0.36028808,-0.07239572,-0.32798077,1.21362787
6,1781860039.999508,-0.53303314,-0.16950250,-0.40263831,1.33240315
6,1781860040.041178,-0.65026670,-0.26033815,-0.45247004,1.29978677
6,1781860040.102335,-0.71668111,-0.38664274,-0.51157004,1.01597418
6,1781860040.163763,-0.73047424,-0.59022407,-0.49034087,0.09014262
6,1781860040.259939,-0.71060885,-0.77988926,-0.42210505,-0.95366891
6,1781860040.319795,-0.60623620,-0.76467164,-0.37394907,-1.22631309
6,1781860040.383394,-0.41428789,-0.58728561,-0.34342770,-0.93087142
6,1781860040.457179,-0.27935095,-0.53321842,-0.38601310,-0.89562710
6,1781860040.504672,-0.07984644,-0.49522821,-0.43600604,-1.05982793
6,1781860040.568700,0.70806193,0.16239503,-0.05965770,-0.72265590
6,1781860040.661327,2.02072181,1.48314182,0.93151993,0.03135668
6,1781860040.707502,2.60354910,2.25818456,1.74687807,0.37056142
6,1781860040.772612,1.44099240,1.42710204,1.40021616,0.02902001
6,1781860040.845103,-0.61891977,-0.31863549,0.17942496,-0.44164974
6,1781860040.938455,-1.71552421,-1.29545293,-0.58943023,-0.63855200
6,1781860041.005429,-1.15276495,-0.85039942,-0.27962141,-0.59938619
6,1781860041.063056,0.10473190,0.19467628,0.37410625,-0.19982836
6,1781860041.110457,0.84499483,0.84730393,0.49900767,0.78292935
6,1781860041.156125,0.79826928,0.93319190,0.21313123,1.90924497
6,1781860041.253037,0.44184450,0.78522865,0.11642517,2.26029461
6,1781860041.309318,0.17587740,0.55157150,0.21587519,1.58859079
6,1781860041.369295,-0.01706087,0.12692898,0.02349960,0.55250659
6,1781860041.466755,-0.32380353,-0.48832845,-0.53831271,-0.25577829
6,1781860041.513675,-0.81657549,-1.07098811,-1.02020740,-0.68152071
6,1781860041.558509,-1.37692900,-1.39326377,-1.15917505,-0.55921539
6,1781860041.635047,-1.76252398,-1.45077702,-1.11581289,-0.05184576
6,1781860041.705245,-1.79220225,-1.43631774,-1.03403150,-0.10361870
6,1781860041.776361,-1.49937070,-1.43127169,-0.88753361,-1.06213946
6,1781860041.869945,-1.03586295,-1.23028082,-0.73778532,-1.53393158
6,1781860041.949708,-0.51128644,-0.73287771,-0.73761962,-0.48424168
6,1781860041.997859,-0.08452427,-0.36914431,-0.93546021,0.62904904
6,1781860042.045271,0.04668208,-0.56265369,-1.17818076,0.01382567
6,1781860042.104201,0.15106062,-0.71396327,-0.89925608,-1.51789300
6,1781860042.165388,1.07553167,0.46138678,0.73006640,-1.97141660
6,1781860042.260795,3.07165632,3.07372889,3.56970771,-1.10293155
6,1781860042.308707,4.74570011,5.20718499,5.67691188,-0.01840506
6,1781860042.352300,4.22286378,4.76506802,4.97367121,0.74495739
6,1781860042.449390,1.54364354,1.96434122,1.86158562,1.16891237
6,1781860042.510090,-1.08312249,-0.81329153,-1.03891812,1.10639571
6,1781860042.575069,-1.89301831,-1.74698419,-2.01025058,0.91400025
6,1781860042.662840,-1.45352655,-1.31483049,-1.83083493,1.46199772
6,1781860042.710029,-1.24255639,-0.97851610,-1.85786396,2.55327574
6,1781860042.756206,-1.47858860,-1.16107225,-2.03789113,2.66704454
6,1781860042.834336,-1.47745673,-1.34810747,-1.71970965,1.11866400
6,1781860042.931603,-1.20420730,-1.36240057,-1.13696311,-0.85667761
